season,team,incident,type,min
19/20,Brighton & Hove Albion,"Brighton goal for Leandro Trossard ruled out for offside by Dan Burn, who created the goal",AGAINST,27
19/20,Brighton & Hove Albion,Conor Hourihane goal ruled out for a foul by Wesley on Mat Ryan,FOR,42
19/20,Brighton & Hove Albion,Penalty awarded (scored by Neil Maupay) for foul on Aaron Connolly by Michael Keane,FOR,78
19/20,Brighton & Hove Albion,Jamie Vardy penalty retaken after James Maddison scored the rebound with encroachment,FOR,80
19/20,Brighton & Hove Albion,David Luiz goal disallowed for offside,FOR,63
19/20,Brighton & Hove Albion,John Egan goal ruled out for handball,FOR,8
19/20,Brighton & Hove Albion,Jack O'Connell goal disallowed for offside,FOR,54
19/20,Brighton & Hove Albion,Harry Kane goal ruled out for offside,FOR,24
19/20,Brighton & Hove Albion,Dan Burn goal ruled out for offside,AGAINST,58
19/20,Brighton & Hove Albion,Goal for Dominic Calvert-Lewin ruled out for handball,FOR,75
19/20,Brighton & Hove Albion,Goal for Glenn Murray allowed after incorrect handball,FOR,79
19/20,Brighton & Hove Albion,Jay Rodriguez goal ruled out for offside against Johann Berg Gudmundsson,FOR,57
19/20,Manchester United,"Pierre-Emerick Aubameyang goal, originally ruled out for offside, overturned on review",AGAINST,58
19/20,Manchester United,Sadio Mane goal ruled out for handball,FOR,43
19/20,Manchester United,Penalty awarded (missed by Marcus Rashford) for foul on Daniel James by Ben Godfrey,FOR,25
19/20,Manchester United,Penalty awarded (missed by Anthony Martial) for handball by Todd Cantwell,FOR,41
19/20,Manchester United,Penalty awarded (scored by Marcus Rashford) for foul on Rashford by Bernardo Silva,FOR,23
19/20,Manchester United,Roberto Firmino goal disallowed for foul on David De Gea by Virgil van Dijk,FOR,25
19/20,Manchester United,Kurt Zouma goal disallowed for foul on Brandon Williams by Cesar Azpilicueta,FOR,55
19/20,Manchester United,Olivier Giroud goal disallowed for offside,FOR,77
19/20,Manchester United,Goal for Troy Deeney disallowed for handball by Craig Dawson,FOR,52
19/20,Manchester United,Goal for Everton disallowed for offside against Gylfi Sigurdsson in front of David De Gea,FOR,92
19/20,Manchester United,Penalty awarded for a foul on Bruno Fernandes overturned,AGAINST,91
19/20,Manchester United,Jordan Ayew goal disallowed for offside,FOR,55
19/20,Manchester United,Penalty awarded for a handball by Paul Pogba (scored by Michael Antonio),AGAINST,45
19/20,Crystal Palace,Jordan Ayew goal awarded after originally being ruled out for offside,FOR,87
19/20,Crystal Palace,Penalty awarded for foul by Calum Chambers on Wilfried Zaha (initially booked for diving),FOR,32
19/20,Crystal Palace,Sokratis goal disallowed for foul by Calum Chambers,FOR,83
19/20,Crystal Palace,James Tomkins goal ruled out for push by Jordan Ayew,AGAINST,43
19/20,Crystal Palace,Goal for Max Meyer ruled out for offside by Wilfried Zaha in the build-up,AGAINST,15
19/20,Crystal Palace,Connor Wickham goal awarded after originally being ruled out for offside,FOR,85
19/20,Crystal Palace,Pierre-Emerick Aubameyang sent off for foul on Max Meyer,FOR,65
19/20,Crystal Palace,Penalty for handball against Jairo Riedewald cancelled,FOR,72
19/20,Crystal Palace,Red card for Joel Ward rescinded,FOR,74
19/20,Crystal Palace,Mamadou Sakho goal ruled out for handball,AGAINST,7
19/20,Crystal Palace,"Penalty cancelled, awarded for foul on Jack Grealish by Patrick van Aanholt",FOR,47
19/20,Crystal Palace,Jordan Ayew goal disallowed for offside,AGAINST,55
19/20,Burnley,"Goal for Villa's John McGinn ruled out on review, Conor Hourihane offside in build-up",FOR,25
19/20,Burnley,Jonny Evans own goal ruled out due to a foul by Chris Wood,AGAINST,80
19/20,Burnley,Penalty overturned for diving by Callum Hudson-Odoi,FOR,76
19/20,Burnley,Chris Wood goal disallowed for offside,AGAINST,36
19/20,Burnley,Penalty (scored by Barnes) awarded for foul on Ashley Barnes by Jose Holebas,FOR,80
19/20,Burnley,"Goal for Villa's Jack Grealish ruled out on review, Wesley offside in build-up",FOR,11
19/20,Burnley,Goal for Josh King ruled out for handball in build-up by Philip Billing,FOR,22
19/20,Burnley,"Goal for Harry Wilson ruled out for handball by Bournemouth's Adam Smith, penalty awarded and scored by Jay Rodriguez",FOR,57
19/20,Burnley,Penalty given (scored by Riyad Mahrez) for a foul by Ben Mee on Sergio Aguero,AGAINST,45
19/20,Burnley,Red card for Emiliano Buendia for an elbow on Ashley Westwood,FOR,33
19/20,Burnley,Jay Rodriguez goal ruled out for offside against Johann Berg Gudmundsson,AGAINST,57
19/20,Newcastle,"Jonjo Shelvey goal, originally ruled out for offside, cleared by the VAR",FOR,70
19/20,Newcastle,Moussa Djenepo sent off for challenge on Isaac Hayden,FOR,28
19/20,Newcastle,Penalty awarded for handball by Sofiane Boufal,FOR,40
19/20,Southampton,Oliver McBurnie's goal disallowed for offside,FOR,52
19/20,Southampton,"Josh King scored for the Cherries, but he was offside",FOR,25
19/20,Southampton,Raul Jimenez goal ruled out for offside against Patrick Cutrone,FOR,42
19/20,Southampton,Ryan Bertrand sent off for challenge on Ayoze Perez,AGAINST,12
19/20,Southampton,Goal for Michail Antonio ruled out for handball,FOR,52
19/20,Southampton,Goal for Max Meyer ruled out for offside by Wilfried Zaha in the build-up,FOR,15
19/20,Southampton,Penalty for Southampton cancelled for offside against Shane Long in build-up,AGAINST,63
19/20,Southampton,Jonny Evans goal ruled out for offside,FOR,90
19/20,Southampton,Penalty awarded (scored by Raul Jimenez) for foul on Jonny by Jack Stephens,AGAINST,65
19/20,Southampton,Moussa Djenepo sent off for challenge on Isaac Hayden,AGAINST,28
19/20,Southampton,Penalty awarded (missed by Matt Ritchie) for handball by Sofiane Boufal,AGAINST,40
19/20,Southampton,Penalty awarded (missed by Danny Ings) for handball by Harry Wilson,FOR,57
19/20,Southampton,"Sam Surridge goal disallowed, Callum Wilson offside",FOR,94
19/20,Liverpool,Chelsea goal ruled out after Mason Mount was offside in the build-up to Cesar Azpilicueta's goal,FOR,27
19/20,Liverpool,Sadio Mane goal ruled out for handball,AGAINST,43
19/20,Liverpool,James Tomkins goal ruled out for push by Jordan Ayew,FOR,43
19/20,Liverpool,Sadio Mane goal ruled out for offside,AGAINST,51
19/20,Liverpool,Goal for Sadio Mane given after originally ruled out for handball by Adam Lallana,FOR,42
19/20,Liverpool,Goal for Pedro Neto ruled out for offside in the build-up by Jonny,FOR,45
19/20,Liverpool,Roberto Firmino goal disallowed for foul on David De Gea by Virgil van Dijk,AGAINST,25
19/20,Liverpool,City goal for Riyad Mahrez ruled out for handball by Phil Foden in the build-up,FOR,90
19/20,Leicester City,Wolves goal for Leander Dendoncker disallowed for handball in build-up by Willy Boly,FOR,51
19/20,Leicester City,Goal disallowed for offside against Ayoze Perez,AGAINST,16
19/20,Leicester City,Son Heung-Min offside in build-up to Serge Aurier goal,FOR,64
19/20,Leicester City,Jonny Evans own goal ruled out due to a foul by Chris Wood,FOR,80
19/20,Leicester City,Ryan Bertrand sent off for challenge on Ayoze Perez,FOR,12
19/20,Leicester City,Jamie Vardy penalty retaken after James Maddison scored the rebound with encroachment,AGAINST,80
19/20,Leicester City,Penalty for foul on Ben Chilwell by Mason Holgate cancelled,AGAINST,34
19/20,Leicester City,"Kelechi Iheanacho effort, originally ruled offside, given as a goal",FOR,94
19/20,Leicester City,Penalty for Southampton cancelled for offside against Shane Long in build-up,FOR,63
19/20,Leicester City,Jonny Evans goal ruled out for offside,AGAINST,90
19/20,Leicester City,Wolves goal for Willy Boly disallowed for offside in build-up by Pedro Neto,FOR,44
19/20,Leicester City,Penalty (missed by Sergio Aguero) awarded for handball against Dennis Praet,AGAINST,0
19/20,Leicester City,Goal for Kelechi Iheanacho disallowed for handball,AGAINST,49
19/20,Leicester City,Penalty awarded (scored by Gylfi Sigurdsson) for handball against Wilfred Ndidi,AGAINST,13
19/20,Leicester City,Edward Nketiah sent off for foul on James Justin,FOR,75
19/20,Tottenham Hotspur,City goal for Gabriel Jesus ruled out for handball in build-up by Aymeric Laporte,FOR,90
19/20,Tottenham Hotspur,Goal disallowed for offside against Ayoze Perez,FOR,16
19/20,Tottenham Hotspur,Son Heung-Min offside in build-up to Serge Aurier goal,AGAINST,64
19/20,Tottenham Hotspur,Goal for David McGoldrick disallowed for offside in build-up by John Lundstram,FOR,60
19/20,Tottenham Hotspur,Declan Rice goal disallowed for offside,FOR,89
19/20,Tottenham Hotspur,Penalty (scored by Willian) awarded for foul by Paulo Gazzaniga on Marcos Alonso,AGAINST,45
19/20,Tottenham Hotspur,Son Heung-Min sent off for foul on Antonio Rudiger,AGAINST,62
19/20,Tottenham Hotspur,Harry Kane goal ruled out for offside,AGAINST,24
19/20,Tottenham Hotspur,Teemu Pukki goal ruled out for offside,FOR,33
19/20,Tottenham Hotspur,Penalty (missed by Ilkay Gundogan) awarded for foul by Serge Aurier on Sergio Aguero,AGAINST,38
19/20,Tottenham Hotspur,Penalty (missed by Son Heung-Min but scored on the rebound) awarded for foul by Bjorn Engels on Steven Bergwijn,FOR,45
19/20,Tottenham Hotspur,Penalty awarded for a foul on Bruno Fernandes overturned,FOR,91
19/20,Tottenham Hotspur,Son Heung-Min goal disallowed for offside,AGAINST,45
19/20,Tottenham Hotspur,Goal for Harry Kane ruled out for handball in the build-up by Lucas Moura,AGAINST,32
19/20,Tottenham Hotspur,Goal for Callum Wilson ruled out for handball by Josh King,FOR,90
19/20,Manchester City,City goal for Gabriel Jesus ruled out for an offside against Raheem Sterling earlier in the move,AGAINST,53
19/20,Manchester City,Missed City penalty retaken due to encroachment by Declan Rice. Retake scored by Sergio Aguero,FOR,86
19/20,Manchester City,City goal for Gabriel Jesus ruled out for handball in build-up by Aymeric Laporte,AGAINST,90
19/20,Manchester City,Penalty awarded (scored by Marcus Rashford) for foul on Rashford by Bernardo Silva,AGAINST,23
19/20,Manchester City,Penalty awarded (missed by Raheem Sterling) for foul on Riyad Mahrez by Leander Dendoncker,FOR,21
19/20,Manchester City,Missed City penalty retaken due to encroachment by Connor Coady . Retake scored by on rebound by Raheem Sterling,FOR,25
19/20,Manchester City,Goal for Lys Mousset ruled out for offside,FOR,29
19/20,Manchester City,Goal for Phil Foden ruled out for offside in build-up by Joao Cancelo,AGAINST,12
19/20,Manchester City,Penalty for handball against Jairo Riedewald cancelled,AGAINST,72
19/20,Manchester City,Penalty (missed by Ilkay Gundogan) awarded for foul by Serge Aurier on Sergio Aguero,FOR,38
19/20,Manchester City,Penalty (missed by Sergio Aguero) awarded for handball against Dennis Praet,FOR,0
19/20,Manchester City,Penalty given (scored by Riyad Mahrez) for a foul by Ben Mee on Sergio Aguero,FOR,45
19/20,Manchester City,"Fernandinho sent off for deliberate handball on the goalline, penalty scored by Willian",AGAINST,77
19/20,Manchester City,City goal for Riyad Mahrez ruled out for handball by Phil Foden in the build-up,AGAINST,90
19/20,Manchester City,"Man City penalty, for a foul on Gabriel Jesus by Steve Cook, overturned",AGAINST,71
19/20,Manchester City,Goal for Onel Hernandez ruled out for offside,FOR,7
19/20,Arsenal,"Pierre-Emerick Aubameyang goal, originally ruled out for offside, overturned on review",FOR,58
19/20,Arsenal,Penalty awarded for foul by Calum Chambers on Wilfried Zaha (initially booked for diving),AGAINST,32
19/20,Arsenal,Sokratis goal disallowed for foul by Calum Chambers,AGAINST,83
19/20,Arsenal,Pierre-Emerick Aubameyang missed penalty retaken (and scored) following encroachment by a defender,FOR,29
19/20,Arsenal,David Luiz goal disallowed for offside,AGAINST,63
19/20,Arsenal,Pierre-Emerick Aubameyang sent off for foul on Max Meyer,AGAINST,65
19/20,Arsenal,Alexandre Lacazette goal allowed after incorrect offside against Mesut Ozil,FOR,78
19/20,Arsenal,Edward Nketiah sent off for foul on James Justin,AGAINST,75
19/20,Arsenal,Penalty (scored by Pierre-Emerick Aubameyang) awarded for foul by Craig Dawson on Alexandre Lacazette,FOR,2
19/20,Everton,Penalty awarded (scored by Neal Maupay) for foul on Aaron Connolly by Michael Keane,AGAINST,78
19/20,Everton,Penalty for foul on Ben Chilwell by Mason Holgate cancelled,FOR,34
19/20,Everton,"Kelechi Iheanacho effort, originally ruled offside, given as a goal",AGAINST,94
19/20,Everton,Goal for Phil Foden ruled out for offside in build-up by Joao Cancelo,FOR,12
19/20,Everton,Goal for Dominic Calvert-Lewin ruled out for handball,AGAINST,75
19/20,Everton,Goal for Everton disallowed for offside against Gylfi Sigurdsson in front of David De Gea,AGAINST,92
19/20,Everton,Penalty awarded (scored by Gylfi Sigurdsson) for handball against Wilfred Ndidi,FOR,13
19/20,AFC Bournemouth,"Josh King scored for the Cherries, but he was offside",AGAINST,25
19/20,AFC Bournemouth,"Josh King goal, originally ruled out for offside, cleared by the VAR",FOR,17
19/20,AFC Bournemouth,"Dan Gosling goal, originally disallowed for offside, given by the VAR",FOR,84
19/20,AFC Bournemouth,Dan Burn goal ruled out for offside,FOR,58
19/20,AFC Bournemouth,Aaron Cresswell red card downgraded to yellow,AGAINST,76
19/20,AFC Bournemouth,Red card for Ben Godfrey for foul on Callum Wilson,FOR,76
19/20,AFC Bournemouth,Goal for Josh King ruled out for handball in build-up by Philip Billing,AGAINST,22
19/20,AFC Bournemouth,"Goal for Harry Wilson ruled out for handball by Bournemouth's Adam Smith, penalty awarded and scored by Jay Rodriguez",AGAINST,57
19/20,AFC Bournemouth,Goal for Callum Wilson ruled out for handball by Josh King,AGAINST,90
19/20,AFC Bournemouth,"Man City penalty, for a foul on Gabriel Jesus by Steve Cook, overturned",FOR,71
19/20,AFC Bournemouth,Penalty awarded (missed by Danny Ings) for handball by Harry Wilson,AGAINST,57
19/20,AFC Bournemouth,"Sam Surridge goal disallowed, Callum Wilson offside",AGAINST,94
19/20,Chelsea,Chelsea goal for Kurt Zouma disallowed for a foul on the goalkeeper by Olivier Giroud,AGAINST,77
19/20,Chelsea,Goal ruled out after Mason Mount was offside in the build-up to Cesar Azpilicueta's goal,AGAINST,27
19/20,Chelsea,Penalty overturned for diving by Callum Hudson-Odoi,AGAINST,76
19/20,Chelsea,Penalty (scored by Deulofeu) awarded for foul by Jorginho for trip on Gerard Deulofeu,AGAINST,77
19/20,Chelsea,Goal for Michail Antonio ruled out for handball,FOR,67
19/20,Chelsea,"Dan Gosling goal, originally disallowed for offside, given by the VAR",AGAINST,84
19/20,Chelsea,Penalty (scored by Willian) awarded for foul by Paulo Gazzaniga on Marcos Alonso,FOR,45
19/20,Chelsea,Son Heung-Min sent off for foul on Antonio Rudiger,FOR,62
19/20,Chelsea,Kurt Zouma goal disallowed for foul on Brandon Williams by Cesar Azpilicueta,AGAINST,55
19/20,Chelsea,Olivier Giroud goal disallowed for offside,AGAINST,77
19/20,Chelsea,"Fernandinho sent off for deliberate handball on the goalline, penalty scored by Willian",FOR,77
19/20,Chelsea,Tomas Soucek goal disallowed for offside against Michail Antonio,FOR,34
19/20,Watford,Penalty (scored by Deulofeu) awarded for trip on Gerard Deulofeu by Jorginho,FOR,77
19/20,Watford,Penalty (scored by Barnes) awarded for foul on Ashley Barnes by Jose Holebas,AGAINST,80
19/20,Watford,Sadio Mane goal ruled out for offside,FOR,51
19/20,Watford,Christian Kabasele sent off for professional foul after originally being booked,AGAINST,68
19/20,Watford,Goal for Troy Deeney disallowed for handball by Craig Dawson,AGAINST,52
19/20,Watford,Penalty (scored by Pierre-Emerick Aubameyang) awarded for foul by Craig Dawson on Alexandre Lacazette,AGAINST,2
19/20,Aston Villa,"Goal for John McGinn ruled out on review, Conor Hourihane offside in build-up",AGAINST,25
19/20,Aston Villa,Conor Hourihane goal ruled out for a foul by Wesley on Mat Ryan,AGAINST,42
19/20,Aston Villa,Penalty awarded (missed by Jack Grealish) for handball by John Egan,FOR,76
19/20,Aston Villa,"Goal for Villa's Jack Grealish ruled out on review, Wesley offside in build-up",AGAINST,11
19/20,Aston Villa,Penalty (missed by Son Heung-Min but scored on the rebound) awarded for foul by Bjorn Engels on Steven Bergwijn,AGAINST,45
19/20,Aston Villa,Mamadou Sakho goal ruled out for handball,FOR,7
19/20,Aston Villa,"Penalty cancelled, awarded for foul on Jack Grealish by Patrick van Aanholt",AGAINST,47
19/20,West Ham,City goal for Gabriel Jesus ruled out for an offside against Raheem Sterling earlier in the move,FOR,53
19/20,West Ham,Missed City penalty retaken due to encroachment by Declan Rice. Retake scored by Sergio Aguero,AGAINST,86
19/20,West Ham,"Brighton goal for Leandro Trossard ruled out for offside by Dan Burn, who created the goal",FOR,27
19/20,West Ham,"Josh King goal, originally ruled out for offside, cleared by the VAR",AGAINST,17
19/20,West Ham,Jordan Ayew goal awarded after originally being ruled out for offside,AGAINST,87
19/20,West Ham,Chris Wood goal disallowed for offside,FOR,36
19/20,West Ham,Declan Rice goal disallowed for offside,AGAINST,89
19/20,West Ham,Goal for Michail Antonio ruled out for handball,AGAINST,67
19/20,West Ham,Goal for Michail Antonio ruled out for handball,AGAINST,52
19/20,West Ham,Aaron Cresswell red card downgraded to yellow,FOR,76
19/20,West Ham,Goal for Robert Snodgrass ruled out for handball in the build-up by Declan Rice,AGAINST,90
19/20,West Ham,Goal for Glenn Murray allowed after incorrect handball,AGAINST,79
19/20,West Ham,Alexandre Lacazette goal allowed after incorrect offside against Mesut Ozil,AGAINST,78
19/20,West Ham,Son Heung-Min goal disallowed for offside,FOR,45
19/20,West Ham,Tomas Soucek goal disallowed for offside against Michail Antonio,AGAINST,34
19/20,West Ham,Penalty awarded for a handball by Paul Pogba (scored by Michael Antonio),FOR,45
19/20,Sheffield United,Oliver McBurnie's goal disallowed for offside,AGAINST,52
19/20,Sheffield United,Goal for David McGoldrick disallowed for offside in build-up by John Lundstram,AGAINST,60
19/20,Sheffield United,"Jonjo Shelvey goal, originally ruled out for offside, cleared by the VAR",AGAINST,70
19/20,Sheffield United,Red card for Chris Basham rescinded,FOR,74
19/20,Sheffield United,Penalty awarded (missed by Jack Grealish) for handball by John Egan,AGAINST,76
19/20,Sheffield United,John Egan goal ruled out for handball,AGAINST,8
19/20,Sheffield United,Jack O'Connell goal disallowed for offside,AGAINST,54
19/20,Sheffield United,Goal for Lys Mousset ruled out for offside,AGAINST,29
19/20,Sheffield United,Goal for Robert Snodgrass ruled out for handball in the build-up by Declan Rice,FOR,90
19/20,Sheffield United,Red card for Joel Ward rescinded,AGAINST,74
19/20,Wolves,Wolves goal for Leander Dendoncker disallowed for handball in build-up by Willy Boly,AGAINST,51
19/20,Wolves,Raul Jimenez goal ruled out for offside against Patrick Cutrone,AGAINST,42
19/20,Wolves,Penalty awarded (missed by Raheem Sterling) for foul on Riyad Mahrez by Leander Dendoncker,AGAINST,21
19/20,Wolves,Missed City penalty retaken due to encroachment by Connor Coady . Retake scored by on rebound by Raheem Sterling,AGAINST,25
19/20,Wolves,Goal for Sadio Mane given after originally ruled out for handball by Adam Lallana,AGAINST,42
19/20,Wolves,Goal for Pedro Neto ruled out for offside in the build-up by Jonny,AGAINST,45
19/20,Wolves,Christian Kabasele sent off for professional foul after originally being booked,FOR,68
19/20,Wolves,Penalty awarded (scored by Raul Jimenez) for foul on Jonny by Jack Stephens,FOR,65
19/20,Wolves,Wolves goal for Willy Boly disallowed for offside in build-up by Pedro Neto,AGAINST,44
19/20,Norwich City,Chelsea goal for Kurt Zouma disallowed for a foul on the goalkeeper by Olivier Giroud,FOR,77
19/20,Norwich City,Penalty awarded (missed by Marcus Rashford) for foul on Daniel James by Ben Godfrey,AGAINST,25
19/20,Norwich City,Penalty awarded (missed by Anthony Martial) for handball by Todd Cantwell,AGAINST,41
19/20,Norwich City,Pierre-Emerick Aubameyang missed penalty retaken (and scored) following encroachment by a defender,AGAINST,29
19/20,Norwich City,Red card for Chris Basham rescinded,AGAINST,74
19/20,Norwich City,Teemu Pukki goal ruled out for offside,AGAINST,33
19/20,Norwich City,Connor Wickham goal awarded after originally being ruled out for offside,AGAINST,85
19/20,Norwich City,Red card for Ben Godfrey for foul on Callum Wilson,AGAINST,76
19/20,Norwich City,Goal for Kelechi Iheanacho disallowed for handball,FOR,49
19/20,Norwich City,Red card for Emiliano Buendia for an elbow on Ashley Westwood,AGAINST,33
19/20,Norwich City,Goal for Onel Hernandez ruled out for offside,AGAINST,7
20/21,Burnley,Bailey Peacock-Farrell own goal disallowed for offside in the build-up against Gabriel Jesus,FOR,77
20/21,Burnley,Granit Xhaka sent off for violent conduct on Ashley Westwood,FOR,58
20/21,Burnley,"Man United free-kick and Robbie Brady red-card review cancelled for foul in the build-up by Luke Shaw, who was booked",NEUTRAL,0
20/21,Burnley,Semi Ajayi sent off for handball and denying an obvious goal-scoring opportunity,FOR,28
20/21,Burnley,Penalty and red card for handball against Erik Pieters cancelled,FOR,85
20/21,Burnley,Penalty awarded (scored by Chris Wood) for foul on Erik Pieters by Kyle Walker-Peters,FOR,8
20/21,Burnley,Matej Vydra goal disallowed for offside,AGAINST,50
20/21,Everton,Dominic Calvert-Lewin goal awarded after originally ruled out for offside,FOR,31
20/21,Everton,Penalty awarded (scored by Richarlison) for handball by Joel Ward,FOR,41
20/21,Everton,Jordan Henderson goal ruled out for offside against Sadio Mane,FOR,90
20/21,Everton,Penalty cancelled for offside against Dominic Calvert-Lewin,AGAINST,63
20/21,Everton,Penalty cancelled for challenge on Ayoze Perez by Andre Gomes,FOR,81
20/21,Everton,Penalty overturn review rejected after Trent Alexander-Arnold had brought down Dominic Calvert-Lewin,FOR,81
20/21,Everton,Michael Keane goal disallowed for offside in the build-up against Mason Holgate,AGAINST,25
20/21,Everton,Arsenal penalty rescinded for offside in the build-up against Nicolas Pepe,FOR,51
20/21,Chelsea,Andreas Christensen sent off for denying a goal-scoring opportunity when bringing down Sadio Mane,AGAINST,45
20/21,Chelsea,Penalty cancelled for offside against Dominic Calvert-Lewin,FOR,63
20/21,Chelsea,Penalty cancelled for challenge on Pedro Neto by Reece James,FOR,81
20/21,Chelsea,Tammy Abraham goal awarded after incorrect offside,FOR,85
20/21,Chelsea,Penalty cancelled as Jonny Evans' foul on Christian Pulisic was outside the area,AGAINST,39
20/21,Chelsea,Penalty for Ben Chilwell's challenge on Chris Basham cancelled for offside,FOR,11
20/21,Chelsea,Penalty awarded (scored by Jorginho) for Aaron Ramsdale's challenge on Timo Werner,FOR,58
20/21,Chelsea,Penalty review rejected for handball against Callum Hudson-Odoi,FOR,15
